# Crystal metadata
# name: Alpha-Quartz
# cell: a=4.913000, b=4.913000, c=5.405000, alpha=90.000000, beta=90.000000, gamma=120.000000
# volume: 112.984758
# wavelength: 1.541800 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: stick; eta=0.5; thetam_deg=0.0
# caglioti: U=0.0026, V=-0.0018, W=0.001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 1; atoms_input=2; atoms_full=2
# atoms (element, x, y, z, occ, Biso)
#   Si, 0.469700, 0.000000, 0.000000, 1.000000, 0.500000
#   O, 0.413500, 0.266900, 0.119100, 1.000000, 0.500000
#
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         p |              F |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    1 | 0 0 1     |     5.405 |     16.400 |      2 |    49.666 |     0.960 |  17.654-4.977j |      54.795 |
|    2 | 0 0 2     |     2.703 |     33.148 |      2 |    12.822 |     0.851 |  10.229-5.762j |       5.134 |
|    3 | 0 0 3     |     1.802 |     50.666 |      2 |     6.043 |     0.701 |   5.533-3.306j |       0.601 |
|    4 | 0 0 4     |     1.351 |     69.571 |      2 |     3.741 |     0.561 |   3.970-0.453j |       0.114 |
|    5 | 0 0 5     |     1.081 |     90.981 |      2 |     2.805 |     0.500 |   4.040+1.293j |       0.086 |
|    6 | 0 0 6     |     0.901 |    117.688 |      2 |     2.639 |     0.608 |   4.508+1.753j |       0.128 |
|    7 | 0 0 7     |     0.772 |    173.497 |      2 |    17.689 |     0.994 |   4.713+1.277j |       1.431 |
|    8 | 1 0 0     |     4.255 |     20.878 |      6 |    30.975 |     0.936 | -17.290-5.777j |      98.770 |
|    9 | 1 0 1     |     3.343 |     26.663 |     12 |    19.328 |     0.899 | -16.740-0.714j |     100.000 |
|   10 | 1 0 2     |     2.281 |     39.502 |     12 |     9.304 |     0.798 | -11.945+2.495j |      22.648 |
|   11 | 1 0 3     |     1.659 |     55.377 |     12 |     5.231 |     0.661 |  -7.201+2.372j |       4.075 |
|   12 | 1 0 4     |     1.288 |     73.538 |     12 |     3.484 |     0.540 |  -4.443+0.555j |       0.773 |
|   13 | 1 0 5     |     1.048 |     94.748 |     12 |     2.728 |     0.503 |  -3.466-1.215j |       0.380 |
|   14 | 1 0 6     |     0.881 |    122.027 |     12 |     2.697 |     0.641 |  -3.477-2.163j |       0.594 |
|   15 | 1 1 0     |     2.457 |     36.579 |      6 |    10.694 |     0.822 |   3.673+5.507j |       3.948 |
|   16 | 1 1 1     |     2.236 |     40.328 |     12 |     8.965 |     0.791 |   6.191+7.961j |      14.771 |
|   17 | 1 1 2     |     1.818 |     50.186 |     12 |     6.140 |     0.705 |   8.898+7.125j |      11.525 |
|   18 | 1 1 3     |     1.453 |     64.096 |     12 |     4.190 |     0.595 |   9.695+4.378j |       5.785 |
|   19 | 1 1 4     |     1.184 |     81.253 |     12 |     3.108 |     0.512 |   8.450+1.787j |       2.430 |
|   20 | 1 1 5     |     0.989 |    102.362 |     12 |     2.628 |     0.523 |   6.194+0.337j |       1.084 |
|   21 | 1 1 6     |     0.846 |    131.424 |     12 |     2.926 |     0.719 |   3.946+0.045j |       0.671 |
|   22 | 2 0 0     |     2.127 |     42.491 |      6 |     8.171 |     0.772 |  10.482+7.626j |      10.858 |
|   23 | 2 0 1     |     1.980 |     45.838 |     12 |     7.159 |     0.743 |  12.291+4.710j |      18.876 |
|   24 | 2 0 2     |     1.672 |     54.926 |     12 |     5.299 |     0.665 |  10.912+1.366j |       8.735 |
|   25 | 2 0 3     |     1.375 |     68.210 |     12 |     3.841 |     0.569 |   7.826-0.239j |       2.745 |
|   26 | 2 0 4     |     1.141 |     85.042 |     12 |     2.970 |     0.504 |   4.951-0.016j |       0.752 |
|   27 | 2 0 5     |     0.964 |    106.245 |     12 |     2.604 |     0.539 |   3.182+1.050j |       0.323 |
|   28 | 2 0 6     |     0.830 |    136.659 |     12 |     3.136 |     0.764 |   2.532+2.056j |       0.523 |
|   29 | 2 1 0     |     1.608 |     57.288 |     12 |     4.959 |     0.646 |  -2.789-3.555j |       1.340 |
|   30 | 2 1 1     |     1.541 |     60.018 |     24 |     4.617 |     0.625 |  -3.359-6.057j |       5.672 |
|   31 | 2 1 2     |     1.382 |     67.810 |     24 |     3.872 |     0.571 |  -5.223-6.899j |       6.788 |
|   32 | 2 1 3     |     1.200 |     79.965 |     24 |     3.161 |     0.515 |  -6.711-5.787j |       5.241 |
|   33 | 2 1 4     |     1.035 |     96.347 |     24 |     2.701 |     0.506 |  -6.843-3.745j |       3.409 |
|   34 | 2 1 5     |     0.897 |    118.471 |     24 |     2.648 |     0.614 |  -5.728-1.886j |       2.421 |
|   35 | 2 1 6     |     0.786 |    157.556 |     24 |     5.341 |     0.927 |  -4.004-0.808j |       3.386 |
|   36 | 3 0 0     |     1.418 |     65.852 |      6 |     4.032 |     0.584 |  -5.871-7.145j |       2.062 |
|   37 | 3 0 1     |     1.372 |     68.382 |     12 |     3.828 |     0.568 |  -7.930-6.231j |       4.531 |
|   38 | 3 0 2     |     1.256 |     75.738 |     12 |     3.362 |     0.530 |  -8.379-3.979j |       3.143 |
|   39 | 3 0 3     |     1.114 |     87.539 |     12 |     2.894 |     0.501 |  -7.070-1.916j |       1.594 |
|   40 | 3 0 4     |     0.978 |    103.996 |     12 |     2.616 |     0.529 |  -4.942-0.949j |       0.719 |
|   41 | 3 0 5     |     0.860 |    127.447 |     12 |     2.809 |     0.685 |  -3.021-1.050j |       0.403 |
|   42 | 2 2 0     |     1.228 |     77.753 |      6 |     3.261 |     0.523 |   6.728+2.672j |       0.915 |
|   43 | 2 2 1     |     1.198 |     80.128 |     12 |     3.154 |     0.515 |   4.842+1.830j |       0.891 |
|   44 | 2 2 2     |     1.118 |     87.169 |     12 |     2.905 |     0.501 |   2.910+2.351j |       0.418 |
|   45 | 2 2 3     |     1.015 |     98.861 |     12 |     2.665 |     0.512 |   1.962+3.560j |       0.462 |
|   46 | 2 2 4     |     0.909 |    116.029 |     12 |     2.624 |     0.596 |   2.094+4.458j |       0.778 |
|   47 | 2 2 5     |     0.811 |    143.610 |     12 |     3.548 |     0.824 |   2.758+4.486j |       1.661 |
|   48 | 3 1 0     |     1.180 |     81.577 |     12 |     3.095 |     0.511 |   2.661+2.722j |       0.469 |
|   49 | 3 1 1     |     1.153 |     83.927 |     24 |     3.008 |     0.506 |   2.037+4.416j |       1.474 |
|   50 | 3 1 2     |     1.081 |     90.932 |     24 |     2.806 |     0.500 |   2.676+5.716j |       2.291 |
|   51 | 3 1 3     |     0.987 |    102.691 |     24 |     2.625 |     0.524 |   3.862+5.776j |       2.723 |
|   52 | 3 1 4     |     0.889 |    120.297 |     24 |     2.671 |     0.627 |   4.648+4.665j |       2.977 |
|   53 | 3 1 5     |     0.797 |    150.534 |     24 |     4.204 |     0.879 |   4.543+3.043j |       4.528 |
|   54 | 4 0 0     |     1.064 |     92.894 |      6 |     2.763 |     0.501 |   2.958+5.878j |       0.614 |
|   55 | 4 0 1     |     1.044 |     95.231 |     12 |     2.719 |     0.504 |   4.472+6.123j |       1.615 |
|   56 | 4 0 2     |     0.990 |    102.312 |     12 |     2.628 |     0.523 |   5.530+5.035j |       1.575 |
|   57 | 4 0 3     |     0.916 |    114.624 |     12 |     2.614 |     0.587 |   5.453+3.322j |       1.282 |
|   58 | 4 0 4     |     0.836 |    134.543 |     12 |     3.042 |     0.746 |   4.339+1.882j |       1.040 |
|   59 | 3 2 0     |     0.976 |    104.327 |     12 |     2.614 |     0.531 |  -5.069-3.954j |       1.175 |
|   60 | 3 2 1     |     0.961 |    106.747 |     24 |     2.602 |     0.542 |  -4.184-2.698j |       1.431 |
|   61 | 3 2 2     |     0.918 |    114.217 |     24 |     2.612 |     0.584 |  -2.657-2.261j |       0.761 |
|   62 | 3 2 3     |     0.858 |    127.852 |     24 |     2.820 |     0.688 |  -1.370-2.691j |       0.725 |
|   63 | 3 2 4     |     0.791 |    153.951 |     24 |     4.675 |     0.904 |  -0.871-3.453j |       2.196 |
