# Crystal metadata
# name: BaTiO3
# cell: a=4.010000, b=4.010000, c=4.010000, alpha=90.000000, beta=90.000000, gamma=90.000000
# volume: 64.481201
# wavelength: 1.541800 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: stick; eta=0.5; thetam_deg=0.0
# caglioti: U=0.0026, V=-0.0018, W=0.001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 48; atoms_input=5; atoms_full=5
# atoms (element, x, y, z, occ, Biso)
#   Ba, 0.000000, 0.000000, 0.000000, 1.000000, 0.400000
#   Ti, 0.500000, 0.500000, 0.500000, 1.000000, 0.500000
#   O, 0.500000, 0.500000, 0.000000, 1.000000, 0.500000
#   O, 0.500000, 0.000000, 0.500000, 1.000000, 0.500000
#   O, 0.000000, 0.500000, 0.500000, 1.000000, 0.500000
#
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         p |              F |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    1 | 1 0 0     |     4.010 |     22.168 |      6 |    27.572 |     0.929 |         23.992 |      19.269 |
|    2 | 1 1 0     |     2.835 |     31.552 |     12 |    14.058 |     0.863 |         56.146 |     100.000 |
|    3 | 1 1 1     |     2.315 |     38.899 |      8 |     9.565 |     0.803 |         43.247 |      25.032 |
|    4 | 2 0 0     |     2.005 |     45.224 |      6 |     7.328 |     0.748 |         68.616 |      33.735 |
|    5 | 2 1 0     |     1.793 |     50.919 |     24 |     5.994 |     0.699 |         21.089 |       9.739 |
|    6 | 2 1 1     |     1.637 |     56.186 |     24 |     5.112 |     0.655 |         45.525 |      36.277 |
|    7 | 2 2 0     |     1.418 |     65.878 |     12 |     4.030 |     0.584 |         55.126 |      18.683 |
|    8 | 2 2 2     |     1.158 |     83.511 |      8 |     3.023 |     0.506 |         47.030 |       5.900 |
|    9 | 3 0 0     |     1.337 |     70.442 |     30 |     3.680 |     0.556 |         19.402 |       5.034 |
|   10 | 3 1 0     |     1.268 |     74.880 |     24 |     3.408 |     0.534 |         39.344 |      14.729 |
|   11 | 3 1 1     |     1.209 |     79.227 |     24 |     3.193 |     0.517 |         29.319 |       7.427 |
|   12 | 3 2 0     |     1.112 |     87.759 |     24 |     2.888 |     0.501 |         18.002 |       2.450 |
|   13 | 3 2 1     |     1.072 |     91.996 |     48 |     2.782 |     0.501 |         34.959 |      17.800 |
|   14 | 3 3 1     |     0.920 |    113.854 |     24 |     2.610 |     0.582 |         23.396 |       4.345 |
|   15 | 3 3 2     |     0.855 |    128.766 |     24 |     2.845 |     0.696 |         28.811 |       8.594 |
|   16 | 4 0 0     |     1.002 |    100.524 |      6 |     2.645 |     0.517 |         41.444 |       3.069 |
|   17 | 4 1 0     |     0.973 |    104.867 |     48 |     2.611 |     0.533 |         16.656 |       4.036 |
|   18 | 4 1 1     |     0.945 |    109.298 |     36 |     2.598 |     0.555 |         31.562 |      11.258 |
|   19 | 4 2 0     |     0.897 |    118.575 |     24 |     2.649 |     0.614 |         37.266 |      11.818 |
|   20 | 4 2 1     |     0.875 |    123.520 |     48 |     2.723 |     0.652 |         15.379 |       4.394 |
|   21 | 4 2 2     |     0.819 |    140.713 |     24 |     3.354 |     0.800 |         33.975 |      16.184 |
|   22 | 4 3 0     |     0.802 |    147.983 |     30 |     3.925 |     0.859 |         14.208 |       4.451 |
|   23 | 5 1 0     |     0.786 |    157.192 |     72 |     5.263 |     0.925 |         26.524 |      53.722 |
|   24 | 5 1 1     |     0.772 |    174.701 |     32 |    21.681 |     0.996 |         19.574 |      57.662 |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
