# Crystal metadata
# name: Bismuth (Bi)
# cell: a=4.546000, b=4.546000, c=11.862000, alpha=90.000000, beta=90.000000, gamma=120.000000
# volume: 212.298739
# wavelength: 1.541800 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: stick; eta=0.5; thetam_deg=0.0
# caglioti: U=0.0026, V=-0.0018, W=0.001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 24; atoms_input=1; atoms_full=1
# atoms (element, x, y, z, occ, Biso)
#   Bi, 0.000000, 0.000000, 0.233000, 1.000000, 0.500000
#
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         p |              F |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    1 | 0 0 1     |    11.862 |      7.452 |      2 |   237.268 |     0.992 |  8.741-81.525j |     100.000 |
|    2 | 0 0 2     |     5.931 |     14.937 |      2 |    59.698 |     0.967 | -77.517-16.816j |      22.958 |
|    3 | 0 0 3     |     3.954 |     22.486 |      2 |    26.822 |     0.927 | -23.849+71.860j |       9.010 |
|    4 | 0 0 4     |     2.966 |     30.135 |      2 |    15.325 |     0.874 | 65.325+29.743j |       4.363 |
|    5 | 0 0 5     |     2.372 |     37.925 |      2 |    10.014 |     0.811 | 34.516-58.364j |       2.361 |
|    6 | 0 0 6     |     1.977 |     45.901 |      2 |     7.142 |     0.742 | -51.222-38.208j |       1.368 |
|    7 | 0 0 7     |     1.695 |     54.120 |      2 |     5.426 |     0.672 | -40.872+44.076j |       0.833 |
|    8 | 0 0 8     |     1.483 |     62.653 |      2 |     4.331 |     0.606 | 37.067+42.581j |       0.528 |
|    9 | 0 0 9     |     1.318 |     71.592 |      2 |     3.604 |     0.550 | 43.418-30.311j |       0.351 |
|   10 | 0 0 10    |     1.186 |     81.067 |      2 |     3.115 |     0.512 | -23.899-43.472j |       0.248 |
|   11 | 0 0 11    |     1.078 |     91.267 |      2 |     2.798 |     0.500 | -42.841+17.903j |       0.191 |
|   12 | 0 0 12    |     0.988 |    102.497 |      2 |     2.627 |     0.523 | 12.377+41.625j |       0.164 |
|   13 | 0 0 13    |     0.912 |    115.313 |      2 |     2.619 |     0.591 |  39.922-7.356j |       0.161 |
|   14 | 0 0 14    |     0.847 |    130.968 |      2 |     2.911 |     0.715 | -2.857-37.822j |       0.189 |
|   15 | 0 0 15    |     0.791 |    154.238 |      2 |     4.720 |     0.906 | -35.407-1.113j |       0.339 |
|   16 | 1 0 0     |     3.937 |     22.584 |      6 |    26.596 |     0.926 |         75.664 |      26.750 |
|   17 | 1 0 1     |     3.737 |     23.813 |     12 |    24.010 |     0.918 |  8.000-74.611j |      47.105 |
|   18 | 1 0 2     |     3.280 |     27.186 |     12 |    18.626 |     0.896 | -71.636-15.541j |      34.002 |
|   19 | 1 0 3     |     2.790 |     32.082 |     12 |    13.627 |     0.859 | -22.293+67.172j |      22.242 |
|   20 | 1 0 4     |     2.369 |     37.986 |     12 |     9.985 |     0.811 | 61.683+28.084j |      14.103 |
|   21 | 1 0 5     |     2.032 |     44.591 |     12 |     7.509 |     0.754 | 32.848-55.543j |       8.939 |
|   22 | 1 0 6     |     1.767 |     51.741 |     12 |     5.837 |     0.692 | -49.041-36.581j |       5.733 |
|   23 | 1 0 7     |     1.557 |     59.376 |     12 |     4.693 |     0.630 | -39.317+42.399j |       3.748 |
|   24 | 1 0 8     |     1.388 |     67.499 |     12 |     3.897 |     0.573 | 35.793+41.117j |       2.518 |
|   25 | 1 0 9     |     1.250 |     76.167 |     12 |     3.339 |     0.529 | 42.055-29.360j |       1.761 |
|   26 | 1 0 10    |     1.136 |     85.492 |     12 |     2.956 |     0.503 | -23.209-42.218j |       1.309 |
|   27 | 1 0 11    |     1.040 |     95.669 |     12 |     2.712 |     0.505 | -41.699+17.426j |       1.061 |
|   28 | 1 0 12    |     0.959 |    107.042 |     12 |     2.602 |     0.543 | 12.071+40.595j |       0.961 |
|   29 | 1 0 13    |     0.889 |    120.282 |     12 |     2.671 |     0.627 |  39.001-7.186j |       0.999 |
|   30 | 1 0 14    |     0.828 |    137.082 |     12 |     3.156 |     0.768 | -2.795-37.004j |       1.266 |
|   31 | 1 0 15    |     0.775 |    167.767 |     12 |     9.493 |     0.978 | -34.686-1.090j |       4.240 |
|   32 | 1 1 0     |     2.273 |     39.651 |      6 |     9.241 |     0.796 |         66.945 |       6.256 |
|   33 | 1 1 1     |     2.232 |     40.403 |     12 |     8.935 |     0.790 |  7.097-66.193j |      11.867 |
|   34 | 1 1 2     |     2.122 |     42.595 |     12 |     8.136 |     0.771 | -64.007-13.886j |      10.207 |
|   35 | 1 1 3     |     1.971 |     46.059 |     12 |     7.100 |     0.741 | -20.105+60.578j |       8.128 |
|   36 | 1 1 4     |     1.804 |     50.595 |     12 |     6.057 |     0.701 | 56.158+25.569j |       6.137 |
|   37 | 1 1 5     |     1.641 |     56.029 |     12 |     5.134 |     0.656 | 30.169-51.013j |       4.489 |
|   38 | 1 1 6     |     1.492 |     62.235 |     12 |     4.374 |     0.609 | -45.390-33.857j |       3.237 |
|   39 | 1 1 7     |     1.359 |     69.143 |     12 |     3.772 |     0.563 | -36.634+39.506j |       2.340 |
|   40 | 1 1 8     |     1.242 |     76.742 |     12 |     3.310 |     0.526 | 33.543+38.532j |       1.725 |
|   41 | 1 1 9     |     1.140 |     85.082 |     12 |     2.969 |     0.504 | 39.609-27.652j |       1.324 |
|   42 | 1 1 10    |     1.052 |     94.288 |     12 |     2.736 |     0.503 | -21.955-39.936j |       1.084 |
|   43 | 1 1 11    |     0.974 |    104.605 |     12 |     2.612 |     0.532 | -39.599+16.549j |       0.971 |
|   44 | 1 1 12    |     0.906 |    116.516 |     12 |     2.628 |     0.600 | 11.503+38.685j |       0.974 |
|   45 | 1 1 13    |     0.847 |    131.119 |     12 |     2.916 |     0.716 |  37.281-6.869j |       1.139 |
|   46 | 1 1 14    |     0.794 |    152.337 |     12 |     4.436 |     0.892 | -2.679-35.467j |       1.900 |
|   47 | 2 0 0     |     1.968 |     46.111 |      6 |     7.086 |     0.740 |         63.802 |       4.051 |
|   48 | 2 0 1     |     1.942 |     46.779 |     12 |     6.914 |     0.734 |  6.768-63.124j |       7.764 |
|   49 | 2 0 2     |     1.868 |     48.740 |     12 |     6.448 |     0.717 | -61.142-13.264j |       6.869 |
|   50 | 2 0 3     |     1.762 |     51.885 |     12 |     5.811 |     0.690 | -19.251+58.005j |       5.685 |
|   51 | 2 0 4     |     1.640 |     56.075 |     12 |     5.128 |     0.656 | 53.920+24.550j |       4.477 |
|   52 | 2 0 5     |     1.515 |     61.178 |     12 |     4.486 |     0.616 | 29.048-49.118j |       3.415 |
|   53 | 2 0 6     |     1.395 |     67.097 |     12 |     3.929 |     0.576 | -43.822-32.688j |       2.565 |
|   54 | 2 0 7     |     1.284 |     73.778 |     12 |     3.470 |     0.539 | -35.457+38.236j |       1.929 |
|   55 | 2 0 8     |     1.184 |     81.220 |     12 |     3.109 |     0.512 | 32.539+37.379j |       1.482 |
|   56 | 2 0 9     |     1.095 |     89.482 |     12 |     2.841 |     0.500 | 38.502-26.879j |       1.188 |
|   57 | 2 0 10    |     1.016 |     98.711 |     12 |     2.667 |     0.511 | -21.382-38.894j |       1.019 |
|   58 | 2 0 11    |     0.946 |    109.199 |     12 |     2.598 |     0.554 | -38.631+16.144j |       0.957 |
|   59 | 2 0 12    |     0.883 |    121.542 |     12 |     2.689 |     0.637 | 11.239+37.798j |       1.010 |
|   60 | 2 0 13    |     0.828 |    137.249 |     12 |     3.164 |     0.770 |  36.475-6.721j |       1.271 |
|   61 | 2 0 14    |     0.778 |    164.234 |     12 |     7.431 |     0.963 | -2.625-34.743j |       3.296 |
|   62 | 2 1 0     |     1.488 |     62.406 |     12 |     4.356 |     0.607 |         56.556 |       3.210 |
|   63 | 2 1 1     |     1.476 |     62.950 |     24 |     4.301 |     0.603 |  6.006-56.012j |       6.248 |
|   64 | 2 1 2     |     1.443 |     64.569 |     24 |     4.146 |     0.592 | -54.410-11.804j |       5.774 |
|   65 | 2 1 3     |     1.393 |     67.220 |     24 |     3.919 |     0.575 | -17.205+51.842j |       5.100 |
|   66 | 2 1 4     |     1.330 |     70.849 |     24 |     3.653 |     0.554 | 48.445+22.057j |       4.348 |
|   67 | 2 1 5     |     1.261 |     75.402 |     24 |     3.380 |     0.532 | 26.247-44.381j |       3.625 |
|   68 | 2 1 6     |     1.189 |     80.845 |     24 |     3.124 |     0.513 | -39.824-29.705j |       2.999 |
|   69 | 2 1 7     |     1.118 |     87.174 |     24 |     2.904 |     0.501 | -32.403+34.943j |       2.508 |
|   70 | 2 1 8     |     1.050 |     94.440 |     24 |     2.733 |     0.503 | 29.895+34.342j |       2.162 |
|   71 | 2 1 9     |     0.987 |    102.768 |     24 |     2.625 |     0.524 | 35.553-24.821j |       1.963 |
|   72 | 2 1 10    |     0.928 |    112.427 |     24 |     2.603 |     0.573 | -19.838-36.085j |       1.918 |
|   73 | 2 1 11    |     0.873 |    123.979 |     24 |     2.732 |     0.656 | -35.999+15.044j |       2.070 |
|   74 | 2 1 12    |     0.823 |    138.867 |     24 |     3.247 |     0.784 | 10.515+35.363j |       2.628 |
|   75 | 2 1 13    |     0.778 |    164.657 |     24 |     7.627 |     0.965 |  34.247-6.310j |       6.771 |
|   76 | 3 0 0     |     1.312 |     71.950 |      6 |     3.581 |     0.548 |         52.818 |       1.038 |
|   77 | 3 0 1     |     1.304 |     72.459 |     12 |     3.549 |     0.545 |  5.611-52.330j |       2.034 |
|   78 | 3 0 2     |     1.281 |     73.975 |     12 |     3.459 |     0.538 | -50.891-11.040j |       1.915 |
|   79 | 3 0 3     |     1.246 |     76.478 |     12 |     3.323 |     0.527 | -16.121+48.575j |       1.741 |
|   80 | 3 0 4     |     1.200 |     79.940 |     12 |     3.162 |     0.515 | 45.493+20.713j |       1.544 |
|   81 | 3 0 5     |     1.148 |     84.338 |     12 |     2.994 |     0.505 | 24.710-41.782j |       1.351 |
|   82 | 3 0 6     |     1.093 |     89.671 |     12 |     2.837 |     0.500 | -37.594-28.042j |       1.184 |
|   83 | 3 0 7     |     1.038 |     95.973 |     12 |     2.707 |     0.505 | -30.673+33.078j |       1.056 |
|   84 | 3 0 8     |     0.983 |    103.343 |     12 |     2.620 |     0.527 | 28.378+32.599j |       0.978 |
|   85 | 3 0 9     |     0.930 |    111.986 |     12 |     2.602 |     0.570 | 33.840-23.625j |       0.958 |
|   86 | 3 0 10    |     0.880 |    122.335 |     12 |     2.702 |     0.643 | -18.931-34.435j |       1.018 |
|   87 | 3 0 11    |     0.833 |    135.419 |     12 |     3.079 |     0.754 | -34.435+14.390j |       1.226 |
|   88 | 3 0 12    |     0.790 |    155.033 |     12 |     4.853 |     0.911 | 10.081+33.901j |       2.098 |
|   89 | 2 2 0     |     1.136 |     85.424 |      6 |     2.958 |     0.503 |         48.198 |       0.656 |
|   90 | 2 2 1     |     1.131 |     85.909 |     12 |     2.943 |     0.503 |  5.122-47.772j |       1.295 |
|   91 | 2 2 2     |     1.116 |     87.363 |     12 |     2.899 |     0.501 | -46.514-10.091j |       1.248 |
|   92 | 2 2 3     |     1.092 |     89.784 |     12 |     2.834 |     0.500 | -14.762+44.481j |       1.181 |
|   93 | 2 2 4     |     1.061 |     93.174 |     12 |     2.757 |     0.502 | 41.761+19.014j |       1.105 |
|   94 | 2 2 5     |     1.025 |     97.550 |     12 |     2.682 |     0.509 | 22.748-38.465j |       1.034 |
|   95 | 2 2 6     |     0.985 |    102.962 |     12 |     2.623 |     0.525 | -34.718-25.897j |       0.980 |
|   96 | 2 2 7     |     0.944 |    109.519 |     12 |     2.598 |     0.556 | -28.421+30.649j |       0.957 |
|   97 | 2 2 8     |     0.902 |    117.441 |     12 |     2.637 |     0.606 | 26.383+30.308j |       0.979 |
|   98 | 2 2 9     |     0.861 |    127.188 |     12 |     2.803 |     0.683 | 31.566-22.037j |       1.076 |
|   99 | 2 2 10    |     0.821 |    139.900 |     12 |     3.305 |     0.793 | -17.715-32.223j |       1.344 |
|  100 | 2 2 11    |     0.782 |    160.444 |     12 |     6.063 |     0.944 | -32.320+13.507j |       2.664 |
|  101 | 3 1 0     |     1.092 |     89.822 |     12 |     2.833 |     0.500 |         46.855 |       1.180 |
|  102 | 3 1 1     |     1.087 |     90.306 |     24 |     2.821 |     0.500 |  4.980-46.446j |       2.335 |
|  103 | 3 1 2     |     1.074 |     91.758 |     24 |     2.787 |     0.500 | -45.237-9.814j |       2.268 |
|  104 | 3 1 3     |     1.053 |     94.182 |     24 |     2.738 |     0.503 | -14.364+43.282j |       2.171 |
|  105 | 3 1 4     |     1.025 |     97.588 |     24 |     2.682 |     0.509 | 40.662+18.514j |       2.066 |
|  106 | 3 1 5     |     0.992 |    102.009 |     24 |     2.631 |     0.522 | 22.167-37.483j |       1.975 |
|  107 | 3 1 6     |     0.956 |    107.517 |     24 |     2.600 |     0.545 | -33.861-25.258j |       1.920 |
|  108 | 3 1 7     |     0.918 |    114.255 |     24 |     2.612 |     0.584 | -27.745+29.920j |       1.928 |
|  109 | 3 1 8     |     0.879 |    122.514 |     24 |     2.705 |     0.644 | 25.780+29.615j |       2.039 |
|  110 | 3 1 9     |     0.841 |    132.931 |     24 |     2.979 |     0.732 | 30.874-21.554j |       2.346 |
|  111 | 3 1 10    |     0.803 |    147.311 |     24 |     3.859 |     0.854 | -17.343-31.546j |       3.241 |
|  112 | 4 0 0     |     0.984 |    103.117 |      6 |     2.622 |     0.526 |         43.275 |       0.490 |
|  113 | 4 0 1     |     0.981 |    103.615 |     12 |     2.618 |     0.528 |  4.601-42.909j |       0.976 |
|  114 | 4 0 2     |     0.971 |    105.114 |     12 |     2.609 |     0.534 | -41.825-9.074j |       0.968 |
|  115 | 4 0 3     |     0.955 |    107.636 |     12 |     2.600 |     0.546 | -13.298+40.068j |       0.960 |
|  116 | 4 0 4     |     0.934 |    111.229 |     12 |     2.600 |     0.566 | 37.706+17.168j |       0.957 |
|  117 | 4 0 5     |     0.909 |    115.984 |     12 |     2.624 |     0.596 | 20.597-34.828j |       0.971 |
|  118 | 4 0 6     |     0.881 |    122.076 |     12 |     2.698 |     0.641 | -31.534-23.522j |       1.015 |
|  119 | 4 0 7     |     0.851 |    129.856 |     12 |     2.876 |     0.705 | -25.901+27.931j |       1.117 |
|  120 | 4 0 8     |     0.820 |    140.136 |     12 |     3.319 |     0.795 | 24.126+27.715j |       1.351 |
|  121 | 4 0 9     |     0.789 |    155.667 |     12 |     4.965 |     0.915 | 28.964-20.220j |       2.151 |
|  122 | 3 2 0     |     0.903 |    117.194 |     12 |     2.634 |     0.604 |         40.229 |       0.978 |
|  123 | 3 2 1     |     0.901 |    117.739 |     24 |     2.640 |     0.608 |  4.278-39.897j |       1.962 |
|  124 | 3 2 2     |     0.893 |    119.392 |     24 |     2.659 |     0.620 | -38.913-8.442j |       1.984 |
|  125 | 3 2 3     |     0.881 |    122.210 |     24 |     2.700 |     0.642 | -12.384+37.316j |       2.033 |
|  126 | 3 2 4     |     0.864 |    126.310 |     24 |     2.782 |     0.675 | 35.163+16.010j |       2.127 |
|  127 | 3 2 5     |     0.844 |    131.927 |     24 |     2.943 |     0.723 | 19.238-32.530j |       2.307 |
|  128 | 3 2 6     |     0.822 |    139.561 |     24 |     3.286 |     0.790 | -29.507-22.010j |       2.667 |
|  129 | 3 2 7     |     0.797 |    150.565 |     24 |     4.208 |     0.879 | -24.282+26.186j |       3.580 |
|  130 | 3 2 8     |     0.771 |    176.044 |     24 |    29.009 |     0.998 | 22.663+26.034j |      26.159 |
|  131 | 4 1 0     |     0.859 |    127.616 |     12 |     2.814 |     0.686 |         38.431 |       1.082 |
|  132 | 4 1 1     |     0.857 |    128.230 |     24 |     2.830 |     0.691 |  4.087-38.118j |       2.182 |
|  133 | 4 1 2     |     0.850 |    130.103 |     24 |     2.884 |     0.707 | -37.190-8.068j |       2.242 |
|  134 | 4 1 3     |     0.840 |    133.345 |     24 |     2.995 |     0.736 | -11.842+35.683j |       2.363 |
|  135 | 4 1 4     |     0.825 |    138.204 |     24 |     3.212 |     0.778 | 33.649+15.320j |       2.591 |
|  136 | 4 1 5     |     0.808 |    145.240 |     24 |     3.676 |     0.837 | 18.426-31.157j |       3.060 |
|  137 | 4 1 6     |     0.788 |    156.130 |     24 |     5.052 |     0.918 | -28.289-21.101j |       4.383 |
|  138 | 5 0 0     |     0.787 |    156.507 |      6 |     5.124 |     0.921 |         35.267 |       1.113 |
|  139 | 5 0 1     |     0.786 |    157.752 |     12 |     5.383 |     0.928 |  3.751-34.987j |       2.347 |
|  140 | 5 0 2     |     0.781 |    161.970 |     12 |     6.542 |     0.952 | -34.154-7.409j |       2.886 |
|  141 | 5 0 3     |     0.772 |    173.280 |     12 |    17.121 |     0.993 | -10.885+32.799j |       7.703 |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
