# Crystal metadata
# name: Cs-Cl
# cell: a=4.123000, b=4.123000, c=4.123000, alpha=90.000000, beta=90.000000, gamma=90.000000
# volume: 70.087409
# wavelength: 1.540000 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: stick; eta=0.5; thetam_deg=0.0
# caglioti: U=0.0026, V=-0.0018, W=0.001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 48; atoms_input=2; atoms_full=2
# atoms (element, x, y, z, occ, Biso)
#   Cs, 0.000000, 0.000000, 0.000000, 1.000000, 0.500000
#   Cl, 0.500000, 0.500000, 0.500000, 1.000000, 0.500000
#
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         p |              F |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    1 | 1 0 0     |     4.123 |     21.527 |      6 |    29.185 |     0.933 |         34.414 |      37.233 |
|    2 | 1 1 0     |     2.915 |     30.629 |     12 |    14.863 |     0.870 |         57.853 |     100.000 |
|    3 | 1 1 1     |     2.380 |     37.746 |      8 |    10.100 |     0.813 |         30.840 |      12.022 |
|    4 | 2 0 0     |     2.062 |     43.865 |      6 |     7.727 |     0.760 |         50.467 |      17.273 |
|    5 | 2 1 0     |     1.844 |     49.367 |     24 |     6.311 |     0.712 |         28.258 |      16.577 |
|    6 | 2 1 1     |     1.683 |     54.447 |     24 |     5.374 |     0.669 |         45.625 |      34.576 |
|    7 | 2 2 0     |     1.458 |     63.772 |     12 |     4.221 |     0.598 |         42.099 |      10.327 |
|    8 | 2 2 2     |     1.190 |     80.623 |      8 |     3.133 |     0.513 |         36.994 |       3.389 |
|    9 | 3 0 0     |     1.374 |     68.149 |     30 |     3.846 |     0.569 |         24.542 |       7.616 |
|   10 | 3 1 0     |     1.304 |     72.396 |     24 |     3.553 |     0.546 |         39.316 |      13.847 |
|   11 | 3 1 1     |     1.243 |     76.545 |     24 |     3.320 |     0.527 |         23.063 |       4.300 |
|   12 | 3 2 0     |     1.144 |     84.654 |     24 |     2.983 |     0.504 |         21.741 |       3.285 |
|   13 | 3 2 1     |     1.102 |     88.659 |     48 |     2.863 |     0.500 |         34.981 |      16.193 |
|   14 | 3 3 1     |     0.946 |    108.988 |     24 |     2.598 |     0.553 |         18.490 |       2.269 |
|   15 | 3 3 2     |     0.879 |    122.320 |     24 |     2.702 |     0.643 |         28.776 |       6.645 |
|   16 | 4 0 0     |     1.031 |     96.667 |      6 |     2.696 |     0.507 |         33.194 |       1.738 |
|   17 | 4 1 0     |     1.000 |    100.711 |     48 |     2.643 |     0.517 |         19.469 |       4.789 |
|   18 | 4 1 1     |     0.972 |    104.810 |     36 |     2.611 |     0.533 |         31.584 |       9.614 |
|   19 | 4 2 0     |     0.922 |    113.274 |     24 |     2.607 |     0.578 |         30.119 |       6.315 |
|   20 | 4 2 1     |     0.900 |    117.703 |     48 |     2.639 |     0.608 |         17.600 |       4.594 |
|   21 | 4 2 2     |     0.842 |    132.389 |     24 |     2.960 |     0.727 |         27.539 |       7.541 |
|   22 | 4 3 0     |     0.825 |    138.066 |     30 |     3.205 |     0.777 |         16.055 |       3.705 |
|   23 | 5 1 0     |     0.809 |    144.456 |     72 |     3.613 |     0.831 |         26.395 |      28.991 |
|   24 | 5 1 1     |     0.793 |    152.058 |     32 |     4.398 |     0.890 |         15.383 |       5.707 |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
