# Crystal metadata
# name: LaB6_wl2
# cell: a=4.156900, b=4.156900, c=4.156900, alpha=90.000000, beta=90.000000, gamma=90.000000
# volume: 71.830474
# wavelength: 1.544400 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: stick; eta=0.5; thetam_deg=0.0
# caglioti: U=0.0026, V=-0.0018, W=0.001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 48; atoms_input=7; atoms_full=7
# atoms (element, x, y, z, occ, Biso)
#   La, 0.000000, 0.000000, 0.000000, 1.000000, 0.400000
#   B, 0.201900, 0.500000, 0.500000, 1.000000, 0.500000
#   B, 0.500000, 0.201900, 0.500000, 1.000000, 0.500000
#   B, 0.500000, 0.500000, 0.201900, 1.000000, 0.500000
#   B, 0.798100, 0.500000, 0.500000, 1.000000, 0.500000
#   B, 0.500000, 0.798100, 0.500000, 1.000000, 0.500000
#   B, 0.500000, 0.500000, 0.798100, 1.000000, 0.500000
#
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         p |              F |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    1 | 1 0 0     |     4.157 |     21.411 |      6 |    29.492 |     0.933 |         37.577 |      61.669 |
|    2 | 1 1 0     |     2.939 |     30.462 |     12 |    15.017 |     0.871 |         49.072 |     100.000 |
|    3 | 1 1 1     |     2.400 |     37.538 |      8 |    10.202 |     0.814 |         48.479 |      41.308 |
|    4 | 2 0 0     |     2.078 |     43.620 |      6 |     7.803 |     0.762 |         47.002 |      20.843 |
|    5 | 2 1 0     |     1.859 |     49.086 |     24 |     6.371 |     0.714 |         40.264 |      46.835 |
|    6 | 2 1 1     |     1.697 |     54.133 |     24 |     5.424 |     0.672 |         32.691 |      24.708 |
|    7 | 2 2 0     |     1.470 |     63.393 |     12 |     4.257 |     0.600 |         33.215 |       8.947 |
|    8 | 2 2 2     |     1.200 |     80.107 |      8 |     3.155 |     0.515 |         23.982 |       1.976 |
|    9 | 3 0 0     |     1.386 |     67.737 |     30 |     3.878 |     0.572 |         25.071 |      11.056 |
|   10 | 3 1 0     |     1.315 |     71.950 |     24 |     3.581 |     0.548 |         38.042 |      18.023 |
|   11 | 3 1 1     |     1.253 |     76.065 |     24 |     3.345 |     0.529 |         31.729 |      11.304 |
|   12 | 3 2 0     |     1.153 |     84.100 |     24 |     3.002 |     0.505 |         27.783 |       7.431 |
|   13 | 3 2 1     |     1.111 |     88.064 |     48 |     2.879 |     0.501 |         28.901 |      15.280 |
|   14 | 3 3 1     |     0.954 |    108.138 |     24 |     2.599 |     0.548 |         23.252 |       4.891 |
|   15 | 3 3 2     |     0.886 |    121.222 |     24 |     2.684 |     0.634 |         26.806 |       7.765 |
|   16 | 4 0 0     |     1.039 |     95.984 |      6 |     2.706 |     0.505 |         34.964 |       2.653 |
|   17 | 4 1 0     |     1.008 |     99.978 |     48 |     2.651 |     0.515 |         24.935 |      10.776 |
|   18 | 4 1 1     |     0.980 |    104.022 |     36 |     2.616 |     0.529 |         26.537 |       9.282 |
|   19 | 4 2 0     |     0.930 |    112.354 |     24 |     2.603 |     0.572 |         27.378 |       7.087 |
|   20 | 4 2 1     |     0.907 |    116.701 |     48 |     2.630 |     0.601 |         27.399 |      15.060 |
|   21 | 4 2 2     |     0.849 |    131.025 |     24 |     2.913 |     0.715 |         20.892 |       5.773 |
|   22 | 4 3 0     |     0.831 |    136.502 |     30 |     3.128 |     0.763 |         21.160 |       8.479 |
|   23 | 5 1 0     |     0.815 |    142.600 |     72 |     3.476 |     0.816 |         22.374 |      27.021 |
|   24 | 5 1 1     |     0.800 |    149.704 |     32 |     4.107 |     0.873 |         26.213 |      20.842 |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
