# Crystal metadata
# name: Mg
# cell: a=3.209000, b=3.209000, c=5.211000, alpha=90.000000, beta=90.000000, gamma=120.000000
# volume: 46.471976
# wavelength: 1.541800 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: bar; eta=0.5; thetam_deg=0.0
# caglioti: U=0.00025, V=-0.000175, W=0.0001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 8; atoms_input=2; atoms_full=2
# atoms (element, x, y, z, occ, Biso)
#   Mg, 0.000000, 0.000000, 0.000000, 1.000000, 0.800000
#   Mg, 0.333300, 0.666700, 0.500000, 1.000000, 0.800000
#
+------+-----------+-----------+------------+--------+-----------+-----------+-----------+----------------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         f |         p |              F |            F^2 |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+-----------+----------------+----------------+-------------+
|    1 | 0 0 2     |     2.606 |     34.420 |      2 |    11.959 |     8.851 |     0.840 |         17.188 |        295.412 |      26.690 |
|    2 | 0 0 4     |     1.303 |     72.562 |      2 |     3.543 |     6.395 |     0.545 |         11.369 |        129.251 |       2.243 |
|    3 | 0 0 6     |     0.869 |    125.152 |      2 |     2.756 |     4.274 |     0.666 |          6.557 |         42.995 |       0.709 |
|    4 | 1 0 0     |     2.779 |     32.210 |      6 |    13.527 |     9.025 |     0.858 |   4.399-7.617j | -38.671-67.012j |      24.220 |
|    5 | 1 0 1     |     2.452 |     36.646 |     12 |    10.658 |     8.683 |     0.822 |  12.597+7.275j | 105.761+183.272j |     100.000 |
|    6 | 1 0 2     |     1.901 |     47.854 |     12 |     6.651 |     7.910 |     0.725 |   3.744-6.483j | -28.009-48.536j |      14.581 |
|    7 | 1 0 3     |     1.473 |     63.117 |     12 |     4.284 |     6.949 |     0.602 |   9.504+5.488j | 60.203+104.325j |      16.767 |
|    8 | 1 0 4     |     1.180 |     81.618 |     12 |     3.093 |     5.906 |     0.511 |   2.559-4.431j | -13.084-22.674j |       2.231 |
|    9 | 1 0 5     |     0.976 |    104.369 |     12 |     2.613 |     4.902 |     0.531 |   5.959+3.442j | 23.671+41.019j |       3.544 |
|   10 | 1 0 6     |     0.829 |    136.856 |     12 |     3.145 |     4.028 |     0.766 |   1.506-2.608j |  -4.534-7.856j |       1.179 |
