# Crystal metadata
# name: NaCl
# cell: a=5.640000, b=5.640000, c=5.640000, alpha=90.000000, beta=90.000000, gamma=90.000000
# volume: 179.406144
# wavelength: 1.541800 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: stick; eta=0.5; thetam_deg=0.0
# caglioti: U=0.0026, V=-0.0018, W=0.001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 192; atoms_input=8; atoms_full=8
# atoms (element, x, y, z, occ, Biso)
#   Na, 0.000000, 0.000000, 0.000000, 1.000000, 1.600000
#   Na, 0.000000, 0.500000, 0.500000, 1.000000, 1.600000
#   Na, 0.500000, 0.000000, 0.500000, 1.000000, 1.600000
#   Na, 0.500000, 0.500000, 0.000000, 1.000000, 1.600000
#   Cl, 0.500000, 0.500000, 0.500000, 1.000000, 1.350000
#   Cl, 0.500000, 0.000000, 0.000000, 1.000000, 1.350000
#   Cl, 0.000000, 0.500000, 0.000000, 1.000000, 1.350000
#   Cl, 0.000000, 0.000000, 0.500000, 1.000000, 1.350000
#
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         p |              F |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    1 | 1 1 1     |     3.256 |     27.389 |      8 |    18.364 |     0.894 |        -17.655 |       8.553 |
|    2 | 2 0 0     |     2.820 |     31.730 |      6 |    13.911 |     0.862 |         81.587 |     100.000 |
|    3 | 2 2 0     |     1.994 |     45.486 |     12 |     7.255 |     0.746 |         66.546 |      60.053 |
|    4 | 2 2 2     |     1.628 |     56.522 |      8 |     5.064 |     0.652 |         56.586 |      17.670 |
|    5 | 3 1 1     |     1.701 |     53.915 |     24 |     5.459 |     0.673 |        -10.201 |       1.918 |
|    6 | 3 3 1     |     1.294 |     73.138 |     24 |     3.508 |     0.542 |         -9.437 |       0.849 |
|    7 | 4 0 0     |     1.410 |     66.287 |      6 |     3.995 |     0.581 |         49.339 |       7.080 |
|    8 | 4 2 0     |     1.261 |     75.363 |     24 |     3.382 |     0.532 |         43.738 |      17.250 |
|    9 | 4 2 2     |     1.151 |     84.075 |     24 |     3.003 |     0.505 |         39.217 |      11.699 |
|   10 | 4 4 0     |     0.997 |    101.285 |     12 |     2.638 |     0.519 |         32.231 |       3.566 |
|   11 | 4 4 4     |     0.814 |    142.517 |      8 |     3.471 |     0.815 |         22.829 |       2.463 |
|   12 | 5 1 1     |     1.085 |     90.508 |     32 |     2.816 |     0.500 |         -9.435 |       0.838 |
|   13 | 5 3 1     |     0.953 |    107.926 |     48 |     2.599 |     0.547 |         -9.235 |       1.217 |
|   14 | 5 3 3     |     0.860 |    127.352 |     24 |     2.807 |     0.684 |         -8.777 |       0.742 |
|   15 | 6 0 0     |     0.940 |    110.191 |     30 |     2.598 |     0.560 |         29.436 |       7.894 |
|   16 | 6 2 0     |     0.892 |    119.644 |     24 |     2.662 |     0.622 |         26.975 |       6.043 |
|   17 | 6 2 2     |     0.850 |    130.096 |     24 |     2.884 |     0.707 |         24.787 |       6.283 |
|   18 | 6 4 0     |     0.782 |    160.560 |     24 |     6.097 |     0.945 |         21.065 |      12.811 |
|   19 | 7 1 1     |     0.790 |    154.908 |     48 |     4.832 |     0.910 |         -8.155 |       2.932 |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
