# Crystal metadata
# name: NiAs
# cell: a=3.619000, b=3.619000, c=5.049000, alpha=90.000000, beta=90.000000, gamma=120.000000
# volume: 57.268152
# wavelength: 1.541800 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: stick; eta=0.5; thetam_deg=0.0
# caglioti: U=0.0026, V=-0.0018, W=0.001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 4; atoms_input=4; atoms_full=4
# atoms (element, x, y, z, occ, Biso)
#   Ni, 0.000000, 0.000000, 0.000000, 1.000000, 0.400000
#   Ni, 0.000000, 0.000000, 0.500000, 1.000000, 0.500000
#   As, 0.333300, 0.666600, 0.250000, 1.000000, 0.500000
#   As, 0.666600, 0.333300, 0.750000, 1.000000, 0.500000
#
+------+-----------+-----------+------------+--------+-----------+-----------+-----------+----------------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         f |         p |              F |            F^2 |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+-----------+----------------+----------------+-------------+
|    1 | 0 0 2     |     2.525 |     35.561 |      2 |    11.262 |    26.301 |     0.831 |         -7.833 |         61.364 |       0.439 |
|    2 | 0 0 4     |     1.262 |     75.285 |      2 |     3.386 |    19.828 |     0.532 |         66.120 |       4371.886 |       6.024 |
|    3 | 0 0 6     |     0.842 |    132.725 |      2 |     2.972 |    14.686 |     0.730 |         -5.480 |         30.027 |       0.050 |
|    4 | 1 0 0     |     3.134 |     28.478 |      6 |    17.053 |    27.887 |     0.886 |  19.210-0.009j | 369.039-0.332j |      12.795 |
|    5 | 1 0 1     |     2.663 |     33.657 |     12 |    12.465 |    26.710 |     0.846 | -45.452-0.014j | 2065.905+1.298j |     100.000 |
|    6 | 1 0 2     |     1.966 |     46.172 |     12 |     7.070 |    24.244 |     0.740 |  62.942+0.007j | 3961.661+0.928j |      95.065 |
|    7 | 1 0 3     |     1.483 |     62.653 |     12 |     4.331 |    21.578 |     0.606 |  35.306+0.011j | 1246.496+0.783j |      14.996 |
|    8 | 1 0 4     |     1.171 |     82.357 |     12 |     3.065 |    18.949 |     0.509 |  10.234-0.005j | 104.731-0.111j |       0.749 |
|    9 | 1 0 5     |     0.961 |    106.655 |     12 |     2.603 |    16.468 |     0.541 | -24.912-0.008j | 620.589+0.390j |       4.010 |
|   10 | 1 0 6     |     0.813 |    143.081 |     12 |     3.510 |    14.212 |     0.820 |  30.075+0.004j | 904.511+0.222j |      11.938 |
|   11 | 1 1 0     |     1.809 |     50.432 |      6 |     6.090 |    23.505 |     0.703 |  83.070+0.014j | 6900.566+2.362j |      67.757 |
|   12 | 1 1 1     |     1.703 |     53.816 |     12 |     5.475 |    22.945 |     0.674 |  -0.014-0.000j |   0.000+0.000j |       0.000 |
|   13 | 1 1 2     |     1.471 |     63.224 |     12 |     4.274 |    21.493 |     0.601 |  -7.355-0.013j |  54.092+0.187j |       0.638 |
|   14 | 1 1 3     |     1.232 |     77.445 |     12 |     3.276 |    19.552 |     0.524 |   0.011+0.000j |   0.000+0.000j |       0.000 |
|   15 | 1 1 4     |     1.035 |     96.257 |     12 |     2.702 |    17.429 |     0.506 |  55.373+0.010j | 3066.133+1.079j |      19.230 |
|   16 | 1 1 5     |     0.882 |    121.912 |     12 |     2.695 |    15.320 |     0.640 |  -0.008-0.000j |   0.000+0.000j |       0.000 |
|   17 | 2 0 0     |     1.567 |     58.936 |      6 |     4.746 |    22.138 |     0.633 |  13.666-0.013j | 186.762-0.361j |       1.287 |
|   18 | 2 0 1     |     1.497 |     62.006 |     12 |     4.397 |    21.673 |     0.610 |  35.506+0.022j | 1260.700+1.584j |      15.518 |
|   19 | 2 0 2     |     1.331 |     70.762 |     12 |     3.658 |    20.428 |     0.554 |  49.826+0.012j | 2482.664+1.192j |      23.097 |
|   20 | 2 0 3     |     1.147 |     84.469 |     12 |     2.989 |    18.701 |     0.505 | -29.458-0.019j | 867.750+1.090j |       6.006 |
|   21 | 2 0 4     |     0.983 |    103.297 |     12 |     2.621 |    16.762 |     0.526 |   8.297-0.009j |  68.833-0.153j |       0.436 |
|   22 | 2 0 5     |     0.849 |    130.513 |     12 |     2.897 |    14.804 |     0.711 |  21.560+0.014j | 464.830+0.584j |       4.392 |
|   23 | 2 1 0     |     1.185 |     81.199 |     12 |     3.110 |    19.088 |     0.512 |  10.361-0.011j | 107.348-0.228j |       0.784 |
|   24 | 2 1 1     |     1.153 |     83.894 |     24 |     3.009 |    18.768 |     0.506 | -29.584-0.019j | 875.195+1.100j |      12.219 |
|   25 | 2 1 2     |     1.072 |     91.920 |     24 |     2.784 |    17.874 |     0.501 |  41.309+0.010j | 1706.421+0.833j |      21.818 |
|   26 | 2 1 3     |     0.969 |    105.464 |     24 |     2.608 |    16.570 |     0.536 |  25.115+0.016j | 630.771+0.793j |       8.082 |
|   27 | 2 1 4     |     0.864 |    126.370 |     24 |     2.783 |    15.041 |     0.676 |   7.043-0.008j |  49.606-0.113j |       0.856 |
|   28 | 3 0 0     |     1.045 |     95.106 |      6 |     2.721 |    17.545 |     0.504 |  55.879+0.029j | 3122.477+3.296j |       9.823 |
|   29 | 3 0 1     |     1.023 |     97.795 |     12 |     2.679 |    17.277 |     0.509 |  -0.010-0.000j |   0.000+0.000j |       0.000 |
|   30 | 3 0 2     |     0.965 |    105.992 |     12 |     2.605 |    16.525 |     0.538 |  -6.346-0.027j |  40.265+0.346j |       0.259 |
|   31 | 3 0 3     |     0.888 |    120.572 |     12 |     2.675 |    15.408 |     0.629 |   0.008+0.000j |   0.000+0.000j |       0.000 |
|   32 | 3 0 4     |     0.805 |    146.616 |     12 |     3.795 |    14.079 |     0.849 |  41.298+0.022j | 1705.530+1.807j |      25.196 |
|   33 | 2 2 0     |     0.905 |    116.873 |      6 |     2.631 |    15.665 |     0.602 |  47.811+0.017j | 2285.917+1.616j |       8.309 |
|   34 | 2 2 1     |     0.891 |    119.910 |     12 |     2.665 |    15.453 |     0.624 |  -0.017-0.000j |   0.000+0.000j |       0.000 |
|   35 | 2 2 2     |     0.852 |    129.681 |     12 |     2.871 |    14.850 |     0.704 |  -5.568-0.016j |  31.003+0.175j |       0.287 |
|   36 | 2 2 3     |     0.797 |    150.649 |     12 |     4.218 |    13.944 |     0.880 |   0.014+0.000j |   0.000+0.000j |       0.000 |
|   37 | 3 1 0     |     0.869 |    124.960 |     12 |     2.752 |    15.126 |     0.664 |   7.119-0.012j |  50.684-0.172j |       0.425 |
|   38 | 3 1 1     |     0.857 |    128.289 |     24 |     2.832 |    14.928 |     0.692 |  21.814+0.021j | 475.843+0.897j |       8.555 |
|   39 | 3 1 2     |     0.822 |    139.421 |     24 |     3.278 |    14.365 |     0.788 |  30.504+0.011j | 930.506+0.686j |      22.066 |
|   40 | 3 1 3     |     0.772 |    173.039 |     24 |    16.534 |    13.517 |     0.993 | -18.991-0.018j | 360.672+0.680j |      54.316 |
|   41 | 4 0 0     |     0.784 |    159.392 |      6 |     5.775 |    13.713 |     0.938 |   6.268-0.014j |  39.286-0.176j |       0.488 |
|   42 | 4 0 1     |     0.774 |    169.307 |     12 |    10.826 |    13.551 |     0.983 | -19.049-0.024j | 362.869+0.912j |      17.712 |
+------+-----------+-----------+------------+--------+-----------+-----------+-----------+----------------+----------------+-------------+
