# Crystal metadata
# name: alpha-Fe
# cell: a=2.866000, b=2.866000, c=2.866000, alpha=90.000000, beta=90.000000, gamma=90.000000
# volume: 23.541198
# wavelength: 0.710000 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: stick; eta=0.5; thetam_deg=0.0
# caglioti: U=0.0026, V=-0.0018, W=0.001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 96; atoms_input=2; atoms_full=2
# atoms (element, x, y, z, occ, Biso)
#   Fe, 0.000000, 0.000000, 0.000000, 1.000000, 0.400000
#   Fe, 0.500000, 0.500000, 0.500000, 1.000000, 0.400000
#
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         p |              F |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
|    1 | 1 1 0     |     2.027 |     20.177 |     12 |    33.100 |     0.941 |         36.048 |     100.000 |
|    2 | 2 0 0     |     1.433 |     28.687 |      6 |    16.819 |     0.885 |         29.067 |      15.540 |
|    3 | 2 1 1     |     1.170 |     35.325 |     24 |    11.400 |     0.833 |         24.440 |      28.038 |
|    4 | 2 2 0     |     1.013 |     41.017 |     12 |     8.698 |     0.785 |         21.126 |       7.530 |
|    5 | 2 2 2     |     0.827 |     50.819 |      8 |     6.013 |     0.700 |         16.740 |       1.943 |
|    6 | 3 1 0     |     0.906 |     46.120 |     24 |     7.084 |     0.740 |         18.647 |       9.014 |
|    7 | 3 2 1     |     0.766 |     55.222 |     48 |     5.254 |     0.663 |         15.239 |       7.994 |
|    8 | 3 3 2     |     0.611 |     71.039 |     24 |     3.640 |     0.553 |         11.498 |       1.315 |
|    9 | 4 0 0     |     0.717 |     59.401 |      6 |     4.690 |     0.630 |         14.032 |       0.718 |
|   10 | 4 1 1     |     0.676 |     63.406 |     36 |     4.256 |     0.600 |         13.040 |       3.221 |
|   11 | 4 2 0     |     0.641 |     67.276 |     24 |     3.914 |     0.575 |         12.209 |       1.658 |
|   12 | 4 2 2     |     0.585 |     74.719 |     24 |     3.417 |     0.535 |         10.878 |       1.069 |
|   13 | 4 4 0     |     0.507 |     88.965 |     12 |     2.855 |     0.500 |          8.963 |       0.284 |
|   14 | 4 4 4     |     0.414 |    118.223 |      8 |     2.645 |     0.612 |          6.405 |       0.109 |
|   15 | 5 1 0     |     0.562 |     78.336 |     72 |     3.233 |     0.520 |         10.327 |       2.662 |
|   16 | 5 2 1     |     0.523 |     85.444 |     48 |     2.957 |     0.503 |          9.380 |       1.294 |
|   17 | 5 3 0     |     0.492 |     92.482 |     48 |     2.772 |     0.501 |          8.575 |       1.010 |
|   18 | 5 4 1     |     0.442 |    106.786 |     48 |     2.602 |     0.542 |          7.241 |       0.731 |
|   19 | 6 0 0     |     0.478 |     96.009 |     30 |     2.706 |     0.505 |          8.212 |       0.570 |
|   20 | 5 3 2     |     0.465 |     99.558 |     72 |     2.656 |     0.514 |          7.871 |       1.254 |
|   21 | 6 2 0     |     0.453 |    103.145 |     24 |     2.622 |     0.526 |          7.547 |       0.388 |
|   22 | 6 2 2     |     0.432 |    110.497 |     24 |     2.599 |     0.561 |          6.949 |       0.348 |
|   23 | 6 3 1     |     0.423 |    114.301 |     48 |     2.612 |     0.585 |          6.671 |       0.672 |
|   24 | 6 4 0     |     0.397 |    126.559 |     24 |     2.788 |     0.677 |          5.909 |       0.326 |
|   25 | 6 4 2     |     0.383 |    135.922 |     48 |     3.102 |     0.758 |          5.454 |       0.692 |
|   26 | 7 1 0     |     0.405 |    122.295 |     84 |     2.701 |     0.643 |          6.152 |       1.137 |
|   27 | 7 2 1     |     0.390 |    131.073 |     96 |     2.915 |     0.716 |          5.677 |       1.330 |
|   28 | 7 3 0     |     0.376 |    141.239 |     24 |     3.386 |     0.804 |          5.241 |       0.370 |
|   29 | 7 3 2     |     0.364 |    154.489 |     96 |     4.761 |     0.907 |          4.841 |       2.002 |
|   30 | 8 0 0     |     0.358 |    164.553 |      6 |     7.578 |     0.965 |          4.654 |       0.196 |
+------+-----------+-----------+------------+--------+-----------+-----------+----------------+-------------+
